muid,date,conmatch,matchup,prediction,ttq,conf,venue,team1,t1oe,t1de,t1py,t1wp,t1propt,team2,t2oe,t2de,t2py,t2wp,t2propt,tpro,t1qual,t2qual,gp,result,tempo,possessions,t1pts,t2pts,winner,loser,t1adjt,t2adjt,t1adjo,t1adjd,t2adjo,t2adjd,gamevalue,mismatch,blowout,t1elite,t2elite,ord_date,t1ppp,t2ppp,gameppp,t1rk,t2rk,t1gs,t2gs,gamestats,t1fun,t2fun,results
LipscombWichita St.11-6,11/6/23,ASun at Amer,148 Lipscomb at 81 Wichita St.,"Wichita St. -9.1, 82-73 (80%)",50.169804556511394,0,0,Lipscomb,106.80294692993166,107.96375199191392,0.4689611501643021,0.0,72.90497531034237,Wichita St.,109.00141719108778,97.9103100413067,0.7745273001502676,1.0,82.04566110395284,72.94773699400649,,,1,"Wichita St., 76-59",70.7,70.7,59.0,76.0,Wichita St.,Lipscomb,69.3678477668446,68.19498601234822,89.53226500420037,102.87193585659406,103.86066240453792,82.0776212384171,1.0,0.0,1.0,0.6602155707508136,0.932192771689548,738830,0.8345120226308345,1.074964639321075,0.9547383309759548,148,81,0.16837516313488135,0.9374340604853756,"[u'11/6/2023', 200, u'Lipscomb', u'Wichita St.', 23, 69, 9, 37, 4, 7, 10, 23, 33, 15, 9, 6, 9, 15, 59, 31, 65, 3, 13, 11, 17, 13, 38, 51, 10, 5, 5, 10, 12, 76, 70.7, u'', u'Wichita St.', u'Lipscomb']",0.2045054983718555,0.7954945016281445,"['LipscombWichita St.11-6', '11/6/23', 'Wichita St. -7.0, 76-69 (75%)', 68.8053886944786, 75.78181589716922, 59.0, 76.0, 156.0, 100.0, 71.40912660854353, 49.653972553673384]"
Georgia St.Belmont11-6,11/6/23,SB at MVC,195 Georgia St. at 185 Belmont,"Belmont -4.8, 81-76 (67%)",50.12060658988605,0,0,Georgia St.,102.96094754286872,107.42097906932436,0.3804435701062844,0.0,76.20810670117338,Belmont,108.7008241346874,106.6726396573442,0.5539389720064669,1.0,81.02098946100926,72.60088549819989,,,1,"Belmont, 89-87",77.05000000000001,77.05000000000001,87.0,89.0,Belmont,Georgia St.,73.4661491237185,76.84219343361808,111.66696499701692,110.29037508006796,111.60440697147504,115.69250480913132,1.0,0.0,1.0,0.8431308431604015,0.9518561951029868,738830,1.1291369240752755,1.1550940947436728,1.1421155094094742,195,185,0.5356018785389317,0.3980214066818485,"[u'11/6/2023', 200, u'Georgia St.', u'Belmont', 36, 76, 7, 19, 8, 14, 13, 26, 39, 14, 6, 1, 7, 19, 87, 32, 60, 8, 20, 17, 22, 6, 29, 35, 19, 3, 4, 13, 13, 89, 77.05000000000001, u'', u'Belmont', u'Georgia St.']",0.330867374792979,0.6691326252070209,"['Georgia St.Belmont11-6', '11/6/23', 'Belmont -6.3, 77-71 (73%)', 70.70297673103296, 77.04440069881694, 87.0, 89.0, 218.0, 173.0, 71.9352644897511, 43.9039212682015]"
SamfordPurdue11-6,11/6/23,SC at B10,167 Samford at 1 Purdue,"Purdue -24.4, 90-66 (97%)",49.90272376746599,0,0,Samford,105.31434354219822,107.84600174558668,0.4321268835055384,0.0,66.02301696290553,Purdue,121.39498558884092,90.79923729879395,0.9657621194740532,1.0,90.39209186136397,72.24236557286979,Samford,,1,"Purdue, 98-45",75.55000000000001,75.55000000000001,45.0,98.0,Purdue,Samford,75.02502368341808,72.70336270129211,67.07040356142213,102.00150133476927,114.81622484053912,57.82632530258593,0.9327295280629704,0.0672704719370296,0.9327295280629704,0.1913478209102642,0.941018242593019,738830,0.5956320317670416,1.2971542025148906,0.946393117140966,167,1,0.00799181355280575,0.9996248164006043,"[u'11/6/23', 200, u'Samford', u'Purdue', 17, 68, 5, 31, 6, 14, 14, 19, 33, 11, 11, 0, 15, 19, 45, 34, 62, 16, 29, 14, 22, 12, 42, 54, 29, 9, 10, 15, 15, 98, 75.55000000000001, u'', u'Purdue', u'Samford']",0.0262685369167538,0.9737314630832462,"['SamfordPurdue11-6', '11/6/23', 'Purdue -19.9, 82-62 (96%)', 61.63438413909258, 81.50643325895466, 45.0, 98.0, 157.0, 1.0, 68.04683343477924, 45.69876280353786]"
Portland St.Air Force11-6,11/6/23,BSky at MWC,163 Portland St. at 169 Air Force,"Air Force -3.2, 67-64 (64%)",48.40164922546214,0,0,Portland St.,103.04555120244667,105.34806761709612,0.4368060917342464,1.0,63.66191770049316,Air Force,103.85372639040057,101.14034309039076,0.5755312056298705,0.0,66.83049926451817,63.9134654178156,,,1,"Portland St., 62-55",61.900000000000006,61.900000000000006,62.0,55.0,Portland St.,Air Force,67.77398782419641,61.0674172667576,101.99639728787793,91.10024837461762,89.80800960851893,100.11058697151049,1.0,0.0,1.0,0.8311576265758019,0.9399523175407384,738830,1.0016155088852987,0.888529886914378,0.9450726978998384,163,169,0.7857062158868051,0.22288806354059917,"[u'11/6/2023', 200, u'Portland St.', u'Air Force', 18, 50, 7, 27, 19, 29, 14, 27, 41, 5, 2, 3, 12, 18, 62, 20, 50, 6, 25, 9, 19, 9, 25, 34, 13, 6, 2, 12, 24, 55, 61.900000000000006, u'', u'Portland St.', u'Air Force']",0.3638738672586201,0.6361261327413799,"['Portland St.Air Force11-6', '11/6/23', 'Air Force -5.5, 72-67 (71%)', 66.77207195815242, 72.24832467917092, 62.0, 55.0, 184.0, 153.0, 68.56787379196044, 45.883720670530586]"
Illinois ChicagoCincinnati11-6,11/6/23,MVC at B12,140 Illinois Chicago at 55 Cincinnati,"Cincinnati -10.8, 78-67 (85%)",48.07206921073865,0,0,Illinois Chicago,102.8996260239925,103.2868263454855,0.4892036630846841,0.0,67.03646672653167,Cincinnati,112.38237691170367,97.13414448703956,0.8424887031345413,1.0,77.85177998957728,70.17650226928372,Illinois Chicago,,1,"Cincinnati, 69-58",72.25,72.25,58.0,69.0,Cincinnati,Illinois Chicago,71.59443146353048,71.72794700121455,86.79497716679863,88.63828286055599,96.44386671269432,81.93184152975803,1.0,0.0,1.0,0.555136310576716,0.9268817252751976,738830,0.8027681660899654,0.9550173010380624,0.8788927335640139,140,55,0.43987395439296295,0.8670754855519693,"[u'11/6/2023', 200, u'Illinois Chicago', u'Cincinnati', 26, 60, 2, 16, 4, 7, 6, 30, 36, 7, 4, 7, 15, 14, 58, 28, 67, 5, 25, 8, 13, 10, 29, 39, 12, 11, 2, 9, 9, 69, 72.25, u'', u'Cincinnati', u'Illinois Chicago']",0.1518640623479238,0.8481359376520762,"['Illinois ChicagoCincinnati11-6', '11/6/23', 'Cincinnati -13.1, 81-68 (88%)', 68.1378637864056, 81.2443890291988, 58.0, 69.0, 218.0, 82.0, 73.1226593155175, 40.141689448831755]"
RadfordNorth Carolina11-6,11/6/23,BSth at ACC,144 Radford at 8 North Carolina,"North Carolina -17.4, 84-67 (94%)",47.77692080136919,0,0,Radford,104.74125476065062,105.26773985214795,0.4855889165016461,0.0,66.67087643282723,North Carolina,120.62045003540672,96.08105083090078,0.9318685177896596,1.0,84.11954031100835,69.31815038381903,Radford,,1,"North Carolina, 86-70",71.3375,71.3375,70.0,86.0,North Carolina,Radford,69.23454182577683,73.20649995491095,110.45037277159264,101.7133356780003,116.54765592302633,101.31812822760013,1.0,0.0,1.0,0.3279561923567458,0.9278562311514869,738830,0.9812510951463116,1.2055370597511827,1.0933940774487472,144,8,0.7206505124992577,0.833467104305606,"[u'11/6/2023', 200, u'Radford', u'North Carolina', 28, 66, 5, 21, 9, 10, 11, 23, 34, 5, 8, 3, 12, 21, 70, 32, 61, 7, 20, 15, 23, 12, 25, 37, 18, 4, 5, 11, 11, 86, 71.3375, u'', u'North Carolina', u'Radford']",0.0645605646455277,0.9354394353544724,"['RadfordNorth Carolina11-6', '11/6/23', 'North Carolina -16.3, 81-65 (93%)', 65.05525491360943, 81.36116257099278, 70.0, 86.0, 153.0, 13.0, 71.3734695969097, 46.752014952521364]"
North Dakota St.Western Michigan11-6,11/6/23,Sum at MAC,205 North Dakota St. at 284 Western Michigan,"North Dakota St. -1.0, 71-70 (54%)",47.6780388764511,0,0,North Dakota St.,102.80671786552494,108.0791111538883,0.360050065431879,1.0,70.55036708803901,Western Michigan,102.23337007267972,109.03703597918629,0.322798884516739,0.0,69.54056066821994,65.85216600915022,,,1,"North Dakota St., 80-76",66.24444444444445,74.525,80.0,76.0,North Dakota St.,Western Michigan,68.03125512319079,67.62449540443927,100.27572059645318,107.28877200163724,101.4857784782229,106.35265458835168,1.0,0.0,1.0,0.9333451749606928,0.955710289001466,738830,1.0734652801073463,1.0197920161019791,1.0466286481046627,205,284,0.3148795107882731,0.3684944660059956,"[u'11/6/2023', 225, u'North Dakota St.', u'Western Michigan', 27, 70, 11, 27, 15, 26, 26, 29, 55, 13, 7, 1, 17, 13, 80, 29, 68, 12, 29, 6, 12, 13, 27, 40, 13, 7, 2, 15, 22, 76, 74.525, u'', u'North Dakota St.', u'Western Michigan']",0.5413533110177867,0.4586466889822133,"['North Dakota St.Western Michigan11-6', '11/6/23', 'North Dakota St. -2.5, 73-71 (60%)', 73.22414132423972, 70.72268123991346, 80.0, 76.0, 201.0, 300.0, 71.26288030850203, 45.2980138648139]"
Northern IllinoisMarquette11-6,11/6/23,MAC at BE,165 Northern Illinois at 7 Marquette,"Marquette -20.2, 89-69 (95%)",47.64004618779371,0,0,Northern Illinois,106.27085097599532,108.73619658687116,0.4344451559249513,0.0,69.17514522787829,Marquette,118.8432494632381,94.14513411272524,0.9357838601206988,1.0,89.34838334741613,72.34430704818692,Northern Illinois,,1,"Marquette, 92-70",73.2875,73.2875,70.0,92.0,Marquette,Northern Illinois,73.25037470823595,69.97280171627781,104.97139064967509,110.9380650027438,121.24978202228084,92.99394481131256,0.9973225916085052,0.0026774083914948,0.9973225916085052,0.3141429447031614,0.9404920420522718,738830,0.9551424185570528,1.2553300358178408,1.1052362271874467,165,7,0.3462036693005566,0.9548326251103673,"[u'11/6/2023', 200, u'Northern Illinois', u'Marquette', 26, 70, 7, 26, 11, 16, 18, 22, 40, 10, 6, 4, 14, 13, 70, 35, 67, 9, 25, 13, 21, 13, 28, 41, 20, 8, 2, 9, 15, 92, 73.2875, u'', u'Marquette', u'Northern Illinois']",0.0500746974546472,0.9499253025453528,"['Northern IllinoisMarquette11-6', '11/6/23', 'Marquette -20.8, 86-65 (96%)', 65.06179354862631, 85.86662874506851, 70.0, 92.0, 222.0, 16.0, 72.57915803693766, 41.52830383926964]"
Abilene ChristianOklahoma St.11-6,11/6/23,WAC at B12,141 Abilene Christian at 76 Oklahoma St.,"Oklahoma St. -8.1, 73-64 (80%)",47.44523171683516,0,0,Abilene Christian,103.5116589885674,103.97713975609368,0.4871032785860368,1.0,64.38375646015332,Oklahoma St.,107.58669916911774,95.96204381165494,0.788341848946045,0.0,72.50767902638763,67.81938887156605,,,1,"Abilene Christian, 64-59",69.3625,69.3625,64.0,59.0,Abilene Christian,Oklahoma St.,70.38360122178327,69.58374206000595,104.22787119918875,79.49375703334033,82.25337746192136,96.62601913777428,1.0,0.0,1.0,0.6418377625337609,0.927449394484604,738830,0.9226887727518472,0.8506037123806092,0.8866462425662281,141,76,0.957522001078077,0.13563807818942078,"[u'11/6/2023', 200, u'Abilene Christian', u'Oklahoma St.', 26, 57, 5, 18, 7, 11, 8, 27, 35, 13, 4, 1, 15, 18, 64, 23, 56, 5, 23, 8, 20, 9, 26, 35, 13, 9, 2, 13, 16, 59, 69.3625, u'', u'Abilene Christian', u'Oklahoma St.']",0.2031765765476748,0.7968234234523252,"['Abilene ChristianOklahoma St.11-6', '11/6/23', 'Oklahoma St. -10.3, 74-63 (85%)', 63.46370909846014, 73.78784508238161, 64.0, 59.0, 151.0, 54.0, 71.67330166882586, 47.05561633953215]"
IonaCollege of Charleston11-6,11/6/23,MAAC at CAA,173 Iona at 108 College of Charleston,"College of Charleston -8.5, 79-71 (79%)",47.36814352925696,0,0,Iona,103.148522055245,106.085417645317,0.4199791755242233,0.0,70.67062325540917,College of Charleston,108.57857762885332,99.6367515991345,0.7287608973844114,1.0,79.20565511177134,71.94865338907678,,,1,"College of Charleston, 71-69",72.65,72.65,69.0,71.0,College of Charleston,Iona,70.38727817391232,71.95120247504438,98.8026788802144,95.03521505119426,97.26867937128183,95.43886598437592,1.0,0.0,1.0,0.7129927711686451,0.9437159726192956,738830,0.9497591190640056,0.9772883688919476,0.9635237439779766,173,108,0.6099466394385114,0.5543835465311903,"[u'11/6/2023', 200, u'Iona', u'College of Charleston', 29, 70, 5, 20, 6, 8, 12, 27, 39, 7, 10, 6, 11, 19, 69, 25, 59, 5, 28, 16, 20, 10, 30, 40, 11, 7, 6, 14, 12, 71, 72.65, u'', u'College of Charleston', u'Iona']",0.2122854676993068,0.7877145323006931,"['IonaCollege of Charleston11-6', '11/6/23', 'College of Charleston -9.5, 78-69 (82%)', 68.70909537092636, 78.22770437967048, 69.0, 71.0, 161.0, 86.0, 73.60561463302861, 47.77308193199754]"
Oral RobertsUT Arlington11-6,11/6/23,Sum at WAC,199 Oral Roberts at 168 UT Arlington,"UT Arlington -5.5, 78-72 (70%)",46.218203957215536,0,0,Oral Roberts,103.91343620823936,108.81142404575526,0.3705942339555998,0.0,71.97327353976439,UT Arlington,107.22402190494968,104.26556295716853,0.5797532396294547,1.0,77.50420121906423,69.50642883345833,,,1,"UT Arlington, 75-71",70.1625,70.1625,71.0,75.0,UT Arlington,Oral Roberts,69.29100232664678,70.56542346786661,103.5660514264756,102.35037730510592,100.85723254139006,103.91700100834828,1.0,0.0,1.0,0.8287151231105981,0.9537448761509116,738830,1.0119365758061645,1.0689470871191875,1.040441831462676,199,168,0.533894753616797,0.4149121587563737,"[u'11/6/2023', 200, u'Oral Roberts', u'UT Arlington', 24, 60, 10, 31, 13, 22, 7, 27, 34, 10, 5, 9, 6, 20, 71, 24, 69, 9, 26, 18, 25, 22, 33, 55, 14, 5, 2, 12, 16, 75, 70.1625, u'', u'UT Arlington', u'Oral Roberts']",0.2991332008830941,0.7008667991169059,"['Oral RobertsUT Arlington11-6', '11/6/23', 'UT Arlington -6.2, 78-71 (72%)', 71.36467334708175, 77.58910964838526, 71.0, 75.0, 208.0, 166.0, 72.13870412175054, 44.96917328109495]"
